NODE	NODE_CATEGORY	LEAF_CNT	CATEGORY_CNT	LEAF_PCT	MDE_AMB	MDE_ELE	NCD_AMB	NCD_ELE	NTS_CREO_AMB	NTS_CREO_ELE	NTS_CRUST_AMB	NTS_CRUST_ELE	ORNL_AMB	ORNL_ELE	CRUST_AMB_064	CRUST_ELE_004
035	Firmicutes	6	1	9.7	14	10	6	8	2	4	2	8	4	7	2	1
036	Firmicutes	2	1	3.2	10	5	1	4	0	5	1	4	4	3	3	0
037	Firmicutes	4	1	6.5	3	5	4	0	0	0	0	3	1	0	0	0
038	Firmicutes	3	1	4.8	10	4	4	4	1	3	4	6	4	5	2	1
039	Firmicutes	2	1	3.2	4	3	1	3	2	2	2	5	3	3	2	2
040	Firmicutes	30	1	48.4	70	38	18	24	24	51	21	44	28	24	16	18
041	Firmicutes	3	1	4.8	5	3	0	2	2	3	3	6	0	2	1	2
042	Firmicutes	2	1	3.2	1	0	0	0	0	0	1	0	0	0	0	0
043	Firmicutes	27	1	43.5	134	106	62	70	65	114	66	136	102	72	36	39
044	Firmicutes	2	1	3.2	2	0	0	1	1	1	0	0	3	2	0	0
045	Firmicutes	25	1	40.3	130	129	64	70	63	117	71	152	115	78	25	58
046	Firmicutes	2	1	3.2	4	5	2	3	3	5	7	8	8	5	1	1
047	Firmicutes	23	1	37.1	118	103	42	60	54	103	59	104	88	63	26	38
048	Firmicutes	6	1	9.7	59	67	33	27	25	58	25	49	57	27	13	17
049	Firmicutes	4	1	6.5	9	9	10	7	8	17	5	15	12	3	4	5
050	Firmicutes	2	1	3.2	3	1	1	0	0	1	0	2	0	0	0	0
051	Firmicutes	2	1	3.2	7	5	1	5	3	9	3	4	2	7	0	3
052	Firmicutes	2	1	3.2	56	63	21	20	16	42	18	40	30	26	10	13
053	Firmicutes	17	1	27.4	76	63	36	32	20	46	37	72	51	44	17	15
054	Firmicutes	6	1	9.7	18	10	7	9	4	10	9	16	10	12	6	6
055	Firmicutes	5	1	8.1	3	2	2	0	1	1	2	1	4	1	0	1
056	Firmicutes	4	1	6.5	1	2	0	0	1	0	0	0	0	0	0	0
057	Firmicutes	3	1	4.8	2	0	0	1	0	1	0	0	0	0	0	1
058	Firmicutes	2	1	3.2	1	0	1	0	0	0	0	0	0	0	0	0
059	Firmicutes	11	1	17.7	17	9	6	6	4	11	4	8	10	8	2	2
060	Firmicutes	7	1	11.3	1	2	0	5	2	2	0	5	2	0	0	1
061	Firmicutes	5	1	8.1	9	10	5	2	0	4	4	10	4	3	1	1
062	Firmicutes	4	1	6.5	4	1	0	2	4	3	1	4	4	3	0	1
063	Firmicutes	3	1	4.8	8	6	1	4	1	2	1	3	3	1	0	1
064	Firmicutes	2	1	3.2	6	2	3	2	3	4	2	6	1	1	0	1
065	Firmicutes	2	1	3.2	3	2	2	0	0	2	2	3	1	2	1	1
066	Firmicutes	4	1	6.5	1	1	0	0	0	0	0	1	0	0	0	0
067	Firmicutes	3	1	4.8	2	1	1	1	1	1	0	4	2	1	0	0
068	Firmicutes	2	1	3.2	17	20	9	11	10	7	6	18	12	9	4	8
069	Multi-Phyla (7)	81	7	NA	145	119	54	77	90	149	94	185	80	69	45	67
070	Multi-Phyla (7)	80	7	NA	693	551	248	302	547	949	599	1165	458	420	308	369
071	Firmicutes	9	1	14.5	123	87	27	30	17	43	28	57	60	43	12	25
072	Firmicutes	4	1	6.5	27	23	7	7	5	5	5	15	8	7	5	7
073	Firmicutes	2	1	3.2	10	1	1	1	1	2	1	1	3	2	0	2
074	Firmicutes	2	1	3.2	5	8	1	0	3	4	3	4	4	5	1	2
075	Firmicutes	5	1	8.1	21	16	2	5	2	5	4	9	10	4	3	4
076	Firmicutes	4	1	6.5	9	7	2	4	1	2	3	7	10	1	5	4
077	Firmicutes	3	1	4.8	20	28	10	14	1	8	10	20	16	6	8	5
078	Firmicutes	2	1	3.2	25	22	1	7	2	3	4	9	5	2	2	4
079	Multi-Phyla (6)	71	6	NA	1730	1385	1056	1264	2231	3965	2631	5195	1948	1559	1349	1712
080	Multi-Phyla (5)	20	5	NA	242	195	82	89	98	164	164	321	200	132	93	86
081	Chloroflexi	8	1	100	406	288	137	162	200	440	407	918	374	262	203	227
082	Chloroflexi	4	1	50	70	55	32	34	45	64	85	178	66	42	47	51
083	Chloroflexi	3	1	37.5	220	181	65	63	97	132	263	514	92	73	136	111
084	Chloroflexi	2	1	25	235	197	75	99	91	190	269	573	193	138	142	122
085	Chloroflexi	4	1	50	68	51	34	38	38	77	67	125	84	78	28	45
086	Chloroflexi	3	1	37.5	18	21	3	2	7	9	2	11	2	5	0	2
087	Chloroflexi	2	1	25	164	123	77	101	122	271	195	373	110	96	105	108
088	Multi-Phyla (4)	12	4	NA	51	49	10	15	7	20	12	30	19	16	10	5
089	Synergistetes	4	1	100	71	57	27	24	14	33	20	37	26	22	5	7
090	Synergistetes	2	1	50	24	20	4	6	2	7	3	5	9	7	0	3
091	Synergistetes	2	1	50	59	45	12	13	14	29	12	37	36	17	7	12
092	Multi-Phyla (3)	8	3	NA	12	5	4	4	3	6	3	9	8	2	1	5
093	Deinococcus	3	1	100	47	25	9	8	14	28	30	48	24	15	14	21
094	Deinococcus	2	1	66.7	89	70	34	34	29	70	36	89	52	41	18	23
095	Thermatogae+Other	5	2	NA	15	16	4	2	1	3	1	2	6	3	1	0
096	Thermotogae	4	1	100	337	278	100	138	88	174	94	211	200	134	57	72
097	Thermotogae	3	1	75	21	11	1	2	0	3	3	7	5	3	2	2
098	Thermotogae	2	1	50	27	29	12	11	3	6	7	14	14	16	2	6
099	Actinobacteria	51	1	100	1002	865	819	973	3259	5540	3272	5835	1576	1313	1570	1999
100	Actinobacteria	6	1	11.8	24	16	12	14	51	98	89	156	16	20	40	42
101	Actinobacteria	4	1	7.8	24	13	7	10	14	14	10	22	9	13	4	9
102	Actinobacteria	3	1	5.9	69	36	12	23	25	23	17	63	23	32	16	20
103	Actinobacteria	2	1	3.9	16	6	3	3	1	6	1	12	5	5	2	3
104	Actinobacteria	2	1	3.9	40	26	37	43	142	254	208	407	64	43	102	130
105	Actinobacteria	45	1	88.2	2868	2575	1989	2395	9960	16488	8591	15764	3818	3060	4086	5693
106	Actinobacteria	25	1	49	98	102	98	89	272	425	232	394	162	121	78	130
107	Actinobacteria	24	1	47.1	1876	1609	1596	1936	8007	12744	6663	11913	3409	2462	3012	4260
108	Actinobacteria	5	1	9.8	127	111	135	170	581	887	455	751	301	210	214	271
109	Actinobacteria	2	1	3.9	59	63	68	102	233	335	154	261	150	123	83	96
110	Actinobacteria	3	1	5.9	13	19	7	5	96	173	66	148	26	20	51	63
111	Actinobacteria	2	1	3.9	76	72	45	53	511	694	356	584	163	87	160	238
112	Actinobacteria	19	1	37.3	1078	897	1063	1359	6253	10095	5630	10466	1921	1541	2510	3747
113	Actinobacteria	6	1	11.8	58	55	70	104	203	266	211	298	185	106	92	113
114	Actinobacteria	5	1	9.8	161	112	198	259	481	767	461	759	414	278	209	288
115	Actinobacteria	2	1	3.9	71	50	72	89	223	355	199	331	167	125	75	128
116	Actinobacteria	3	1	5.9	127	101	198	230	385	603	332	573	414	262	185	195
117	Actinobacteria	2	1	3.9	131	112	173	239	431	582	370	602	401	250	174	195
118	Actinobacteria	13	1	25.5	277	223	274	345	1714	2736	1523	2836	425	359	661	981
119	Actinobacteria	12	1	23.5	334	296	292	361	2986	4823	2570	4998	529	428	1064	1750
120	Actinobacteria	2	1	3.9	95	85	69	105	467	880	471	764	172	137	128	184
121	Actinobacteria	10	1	19.6	177	136	181	217	8488	14225	8393	16914	335	257	3440	6129
122	Actinobacteria	9	1	17.6	327	283	330	375	1575	2514	1228	2107	506	402	459	640
123	Actinobacteria	3	1	5.9	149	116	105	131	811	1411	663	1009	202	167	200	375
124	Actinobacteria	2	1	3.9	94	67	62	73	670	1156	566	720	141	98	155	276
125	Actinobacteria	6	1	11.8	29	38	28	39	133	222	93	147	33	21	37	56
126	Actinobacteria	5	1	9.8	400	344	502	520	693	1125	403	657	362	353	137	288
127	Actinobacteria	4	1	7.8	313	270	315	344	946	1572	649	1105	384	313	271	363
128	Actinobacteria	2	1	3.9	202	159	202	234	523	794	385	627	216	189	129	198
129	Actinobacteria	2	1	3.9	53	44	59	65	156	255	95	179	66	57	40	57
130	Actinobacteria	20	1	39.2	350	346	176	223	1092	1787	914	1607	395	285	463	564
131	Actinobacteria	3	1	5.9	37	24	15	15	106	166	88	171	33	20	40	42
132	Actinobacteria	2	1	3.9	15	18	9	10	47	77	56	104	22	11	24	30
133	Actinobacteria	17	1	33.3	65	54	25	42	132	226	105	176	53	58	48	84
134	Actinobacteria	2	1	3.9	2	2	1	0	1	4	0	1	1	2	0	1
135	Actinobacteria	15	1	29.4	251	240	136	151	743	1322	596	965	262	195	274	376
136	Actinobacteria	5	1	9.8	124	118	52	63	356	528	275	450	113	83	114	230
137	Actinobacteria	4	1	7.8	156	134	52	63	456	724	313	519	138	109	146	252
138	Actinobacteria	2	1	3.9	44	44	16	19	164	265	109	140	46	11	53	85
139	Actinobacteria	2	1	3.9	29	24	8	15	103	169	66	102	22	15	39	51
140	Actinobacteria	10	1	19.6	70	63	33	42	289	535	176	328	82	57	108	115
141	Actinobacteria	6	1	11.8	34	26	19	19	95	135	53	101	20	21	27	40
142	Actinobacteria	5	1	9.8	26	18	18	18	90	142	77	126	28	25	37	36
143	Actinobacteria	4	1	7.8	36	49	10	20	125	200	95	150	44	28	60	68
144	Actinobacteria	2	1	3.9	51	27	26	39	169	290	180	223	47	32	69	70
145	Actinobacteria	2	1	3.9	8	2	8	8	44	52	20	35	9	9	6	12
146	Actinobacteria	4	1	7.8	4	4	1	4	8	15	4	11	8	2	0	4
147	Actinobacteria	3	1	5.9	685	632	406	508	1525	2531	995	1764	768	589	424	690
148	Actinobacteria	2	1	3.9	27	31	17	23	257	420	91	137	37	24	26	84
149	Multi-Phyla (14)	254	14	NA	16721	15185	9875	11828	7179	13312	7711	14548	13956	12299	3794	4439
150	Beta+Gammaproteobacteria	99	3	NA	537	500	148	176	76	179	87	129	249	239	31	42
151	Beta+Gammaproteobacteria	98	2	NA	4253	4082	1856	2159	1273	2396	1186	2231	2532	2303	578	697
152	Gammaproteobacteria	40	1	58	233	235	89	94	88	122	58	112	117	106	37	31
153	Gammaproteobacteria	6	1	8.7	20	26	6	14	5	13	9	11	11	15	3	2
154	Gammaproteobacteria	4	1	5.8	6	7	2	5	5	5	5	4	2	3	1	2
155	Gammaproteobacteria	3	1	4.3	9	2	1	1	0	3	1	0	1	2	0	1
156	Gammaproteobacteria	2	1	2.9	5	4	1	3	1	1	0	5	1	3	1	0
157	Gammaproteobacteria	2	1	2.9	2	0	2	0	2	1	0	0	3	0	0	0
